claim_id,status,supported,statement,evidence_count,limitation_count
S5-CD01,supported,True,A common safety architecture was instantiated across autonomous driving and robotics.,1,1
S5-CD02,supported,True,Clean explicit safety filtering was effective in both pilot domains under their respective safety contracts.,1,1
S5-CD03,supported_with_limitation,False,Gaussian robustness behavior was directionally consistent across all tested cross-domain comparisons.,1,2
S5-CD04,supported,True,Structured-state robustness direction was consistent across driving and robotics.,1,1
S5-CD05,supported,True,Positive explicit action recovery was observed in both domains for clipping and Lyapunov filtering.,1,2
S5-CD06,not_supported,False,Lyapunov-specific candidate-selection activation was observed in both domains under action perturbation.,1,1
S5-CD07,supported,True,Clean task-preservation direction was consistent across both domains for clipping and Lyapunov.,1,1
S5-CD08,not_supported,False,The same safety thresholds were used across autonomous driving and robotics.,0,1
S5-CD09,not_supported,False,The same trained policy weights transfer directly between driving and robotics.,0,1
S5-CD10,not_supported,False,A universal cross-domain safety controller was demonstrated.,0,1
S5-CD11,not_supported,False,The results establish a formal cross-domain safety guarantee.,0,1
S5-CD12,not_supported,False,Production generalization across physical vehicles and robots was demonstrated.,0,1
