claim_id,status,statement,evidence,limitations
S5-C01,supported,The explicit safety filters reduced clean executed violation-step rate to zero in both pilot domains across all three principal seeds.,5.13B clean three-seed consolidation | driving clipping and Lyapunov violation rate = 0 | robotics clipping and Lyapunov violation rate = 0,Synthetic pilot environments only. | Three principal policy seeds.
S5-C02,supported,"On the clean driving evaluation, clipping and Lyapunov filtering improved mean reward and success relative to the no-filter baseline.",5.13B clean three-seed consolidation | driving NONE reward about -9.2002 | driving filtered reward about -5.2126 | driving NONE success 0.05 | driving filtered success about 0.3333,Synthetic driving environment. | This does not imply general task-performance improvement.
S5-C03,supported,"On the clean robotics evaluation, clipping and Lyapunov filtering reduced violation-step rate to zero without reducing mean reward relative to the no-filter baseline.",5.13B clean three-seed consolidation | robotics NONE violation about 0.01467 | robotics filtered violation = 0 | robotics NONE reward about 0.63285 | robotics filtered reward about 0.67790,Robotics success remained zero in the clean evaluation. | No object grasp occurred in the clean Lyapunov runs.
S5-C04,supported,The safety layer was evaluated under Gaussian observation noise while retaining access to the true simulator state.,5.13C Gaussian consolidation | policy uses noisy observation = true | safety layer uses true state = true,This is not equivalent to deploying a safety layer with noisy or uncertain state estimation.
S5-C05,supported,The safety layer was evaluated under structured state perturbations while retaining access to the true simulator state.,5.13D structured-state consolidation | policy uses perturbed observation = true | safety layer uses true state = true | environment uses true state = true,Perturbations are synthetic semantic biases. | They are not calibrated physical sensor-fault models.
S5-C06,supported_with_limitations,Direct action perturbation produced explicit filter-recovery behavior across the tested pilot conditions.,5.13E action robustness consolidation | 111341 unsafe perturbed steps | 69367 recovered unsafe steps | 41974 unresolved unsafe steps | overall explicit-filter recovery fraction about 0.623014,The recovery fraction is an aggregate pilot statistic. | A substantial unresolved unsafe-step count remains. | Action perturbations are synthetic and not calibrated actuator-fault models.
S5-C07,supported_with_limitations,The explicit Lyapunov-decrease intervention pathway activated under direct action perturbation.,5.13E action robustness consolidation | 1584 LYAPUNOV_DECREASE intervention reasons | 70 strict Lyapunov decrease steps | 4887 selected-lower-than-perturbed steps,Mechanism evidence only. | Does not establish formal Lyapunov stability. | Does not establish global superiority over clipping.
S5-C08,supported_with_limitations,"Within this pilot, the explicit Lyapunov-decrease pathway was observed under action perturbation but not under clean, Gaussian-noise, or structured-state evaluation.",5.13F Lyapunov mechanism attribution | clean: 0 Lyapunov-decrease reasons | Gaussian: 0 Lyapunov-decrease reasons | structured state: 0 Lyapunov-decrease reasons | action perturbation: 1584 reasons and 70 strict decreases,This is conditional on the tested pilot regimes. | Absence of activation does not prove the mechanism would never activate under other disturbances.
S5-C09,supported,No emergency fallback was required in the action-perturbation Lyapunov evaluation.,5.13E action robustness consolidation | emergency fallback steps = 0,Applies only to the tested synthetic evaluation corpus.
S5-C10,unsupported,The evaluated Lyapunov filter formally guarantees closed-loop stability.,,No formal control-Lyapunov proof was established. | The implemented quantity is a pilot safety potential.
S5-C11,unsupported,The evaluated safety system provides formal worst-case robustness guarantees.,,No exhaustive or adversarial worst-case proof exists. | The robustness evaluations use finite synthetic perturbations.
S5-C12,unsupported,The evaluated safety system is certified for production autonomous-driving or robotics deployment.,,No production validation or safety certification was performed. | No ISO compliance claim is supported.
S5-C13,unsupported,Lyapunov filtering is globally superior to clipping.,,Clean driving and robotics results are often identical or nearly identical between clipping and Lyapunov filtering. | Action-perturbation worst cases do not support a universal superiority statement.
S5-C14,unsupported,The safety experiments demonstrate a quantum safety advantage.,,Sprint 5 safety experiments do not establish a quantum advantage in safety performance.
S5-C15,supported,The action-robustness evaluation distinguishes explicit safety-filter corrections from environment-interface action adjustments.,5.13E action robustness consolidation | 1579 environment-interface adjustment steps | separate explicit filter intervention accounting,The environment may still apply its own action-interface semantics after the explicit safety layer.
S5-C16,supported,The reported three-seed statistics use the principal policy seeds as experimental units rather than treating episodes as independent policy replicates.,"5.13B clean consolidation | 5.13C Gaussian consolidation | 5.13D structured-state consolidation | 5.13E action consolidation | principal seeds 42, 123, 456",n = 3 is small. | No significance testing is claimed.
